id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017529371,401752937,Fresno State,Mountain West,Oregon State,Pac-12,1,True,1,68,68,"{'minutes': 14, 'seconds': 53}",1,0,0,"{'minutes': 12, 'seconds': 24}","{'minutes': 2, 'seconds': 29}",6,68,TD,False,0,0,7,0
4017529372,401752937,Oregon State,Pac-12,Fresno State,Mountain West,2,True,1,25,75,"{'minutes': 12, 'seconds': 24}",1,100,0,"{'minutes': 7, 'seconds': 24}","{'minutes': 5, 'seconds': 0}",11,75,TD,True,0,7,27,26
4017529374,401752937,Oregon State,Pac-12,Fresno State,Mountain West,3,False,1,36,64,"{'minutes': 5, 'seconds': 23}",1,57,43,"{'minutes': 3, 'seconds': 24}","{'minutes': 1, 'seconds': 59}",4,21,PUNT,True,0,7,6,7
4017529373,401752937,Fresno State,Mountain West,Oregon State,Pac-12,4,False,1,77,77,"{'minutes': 7, 'seconds': 17}",1,78,78,"{'minutes': 5, 'seconds': 23}","{'minutes': 1, 'seconds': 54}",3,-1,PUNT,False,7,6,7,6
4017529376,401752937,Oregon State,Pac-12,Fresno State,Mountain West,5,True,2,41,59,"{'minutes': 14, 'seconds': 46}",2,100,0,"{'minutes': 11, 'seconds': 27}","{'minutes': 3, 'seconds': 19}",7,59,TD,True,6,7,12,7
4017529377,401752937,Fresno State,Mountain West,Oregon State,Pac-12,6,True,2,72,72,"{'minutes': 11, 'seconds': 21}",2,0,0,"{'minutes': 8, 'seconds': 43}","{'minutes': 2, 'seconds': 38}",5,72,TD,False,7,6,14,15
4017529378,401752937,Oregon State,Pac-12,Fresno State,Mountain West,7,True,2,31,69,"{'minutes': 8, 'seconds': 35}",2,91,9,"{'minutes': 3, 'seconds': 23}","{'minutes': 5, 'seconds': 12}",11,60,FG,True,6,7,15,14
4017529375,401752937,Fresno State,Mountain West,Oregon State,Pac-12,8,False,1,80,80,"{'minutes': 3, 'seconds': 24}",2,43,43,"{'minutes': 14, 'seconds': 46}","{'minutes': 3, 'seconds': 38}",7,37,INT,False,7,6,7,6
40175293713,401752937,Oregon State,Pac-12,Fresno State,Mountain West,9,True,3,25,75,"{'minutes': 15, 'seconds': 0}",3,100,0,"{'minutes': 3, 'seconds': 44}","{'minutes': 11, 'seconds': 16}",18,68,TD,True,12,14,27,26
40175293715,401752937,Oregon State,Pac-12,Fresno State,Mountain West,10,False,4,25,75,"{'minutes': 13, 'seconds': 57}",4,21,79,"{'minutes': 11, 'seconds': 18}","{'minutes': 2, 'seconds': 39}",5,-4,DOWNS,True,15,14,21,23
40175293716,401752937,Fresno State,Mountain West,Oregon State,Pac-12,11,True,4,21,21,"{'minutes': 11, 'seconds': 18}",4,10,10,"{'minutes': 9, 'seconds': 6}","{'minutes': 2, 'seconds': 12}",5,11,FG,False,14,15,26,21
40175293718,401752937,Fresno State,Mountain West,Oregon State,Pac-12,12,False,4,78,78,"{'minutes': 4, 'seconds': 18}",4,70,70,"{'minutes': 2, 'seconds': 8}","{'minutes': 2, 'seconds': 10}",3,8,PUNT,False,20,15,26,21
40175293719,401752937,Oregon State,Pac-12,Fresno State,Mountain West,13,True,4,32,68,"{'minutes': 2, 'seconds': 8}",4,100,0,"{'minutes': 1, 'seconds': 19}","{'minutes': 0, 'seconds': 49}",6,68,TD,True,15,20,27,26
40175293714,401752937,Fresno State,Mountain West,Oregon State,Pac-12,14,True,3,66,66,"{'minutes': 3, 'seconds': 44}",4,16,16,"{'minutes': 13, 'seconds': 57}","{'minutes': 4, 'seconds': 47}",9,50,FG,False,20,21,23,21
40175293717,401752937,Oregon State,Pac-12,Fresno State,Mountain West,15,False,4,12,88,"{'minutes': 9, 'seconds': 0}",4,78,22,"{'minutes': 4, 'seconds': 18}","{'minutes': 4, 'seconds': 42}",9,66,MISSED FG,True,21,26,21,26
4017568472,401756847,Kansas,Big 12,Fresno State,Mountain West,1,True,1,14,86,"{'minutes': 14, 'seconds': 54}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 49}",9,86,TD,True,0,0,7,0
4017568474,401756847,Fresno State,Mountain West,Kansas,Big 12,2,True,1,75,75,"{'minutes': 11, 'seconds': 6}",1,1,1,"{'minutes': 0, 'seconds': 0}","{'minutes': 3, 'seconds': 46}",7,75,TD,False,0,7,7,7
4017568476,401756847,Kansas,Big 12,Fresno State,Mountain West,3,True,1,25,75,"{'minutes': 7, 'seconds': 20}",1,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 5, 'seconds': 10}",11,75,TD,True,7,7,14,7
4017568478,401756847,Fresno State,Mountain West,Kansas,Big 12,4,False,1,75,75,"{'minutes': 2, 'seconds': 11}",2,57,57,"{'minutes': 14, 'seconds': 5}","{'minutes': 3, 'seconds': 12}",6,18,PUNT,False,7,14,7,14
4017568479,401756847,Kansas,Big 12,Fresno State,Mountain West,5,False,2,19,81,"{'minutes': 13, 'seconds': 56}",2,29,71,"{'minutes': 11, 'seconds': 9}","{'minutes': 3, 'seconds': 1}",5,10,PUNT,True,14,7,14,7
40175684710,401756847,Fresno State,Mountain West,Kansas,Big 12,6,False,2,78,78,"{'minutes': 10, 'seconds': 56}",2,77,77,"{'minutes': 9, 'seconds': 30}","{'minutes': 1, 'seconds': 35}",3,1,PUNT,False,7,14,7,14
40175684711,401756847,Kansas,Big 12,Fresno State,Mountain West,7,True,2,41,59,"{'minutes': 9, 'seconds': 23}",2,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 53}",5,59,TD,True,14,7,21,7
40175684713,401756847,Fresno State,Mountain West,Kansas,Big 12,8,False,2,75,75,"{'minutes': 7, 'seconds': 29}",2,52,52,"{'minutes': 4, 'seconds': 44}","{'minutes': 2, 'seconds': 54}",5,23,INT,False,7,21,7,24
40175684714,401756847,Kansas,Big 12,Fresno State,Mountain West,9,True,2,35,65,"{'minutes': 3, 'seconds': 52}",2,33,67,"{'minutes': 4, 'seconds': 31}","{'minutes': 3, 'seconds': 40}",8,-2,FG,True,21,7,24,7
40175684716,401756847,Fresno State,Mountain West,Kansas,Big 12,10,False,2,75,75,"{'minutes': 0, 'seconds': 55}",3,37,37,"{'minutes': 0, 'seconds': 1}","{'minutes': 0, 'seconds': 56}",9,38,MISSED FG,False,7,24,7,27
40175684718,401756847,Fresno State,Mountain West,Kansas,Big 12,11,False,3,75,75,"{'minutes': 14, 'seconds': 59}",3,117,117,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 42}",10,42,Uncategorized,False,7,24,7,24
40175684719,401756847,Kansas,Big 12,Fresno State,Mountain West,12,True,3,51,49,"{'minutes': 9, 'seconds': 47}",3,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 31}",5,49,TD,True,24,7,31,7
40175684721,401756847,Fresno State,Mountain West,Kansas,Big 12,13,False,3,75,75,"{'minutes': 7, 'seconds': 45}",3,63,63,"{'minutes': 6, 'seconds': 23}","{'minutes': 1, 'seconds': 28}",4,12,INT,False,7,31,7,31
40175684722,401756847,Kansas,Big 12,Fresno State,Mountain West,14,False,3,51,49,"{'minutes': 6, 'seconds': 3}",4,85,15,"{'minutes': 14, 'seconds': 56}","{'minutes': 6, 'seconds': 25}",11,33,DOWNS,True,31,7,31,7
40175684723,401756847,Fresno State,Mountain West,Kansas,Big 12,15,False,4,84,84,"{'minutes': 14, 'seconds': 51}",4,75,75,"{'minutes': 13, 'seconds': 0}","{'minutes': 2, 'seconds': 0}",3,9,PUNT,False,7,31,7,31
40175684724,401756847,Kansas,Big 12,Fresno State,Mountain West,16,False,4,31,69,"{'minutes': 12, 'seconds': 54}",4,35,65,"{'minutes': 10, 'seconds': 38}","{'minutes': 2, 'seconds': 25}",4,4,PUNT,True,31,7,31,7
40175684725,401756847,Fresno State,Mountain West,Kansas,Big 12,17,False,4,96,96,"{'minutes': 10, 'seconds': 28}",4,83,83,"{'minutes': 5, 'seconds': 52}","{'minutes': 4, 'seconds': 51}",8,13,PUNT,False,7,31,7,31
40175684726,401756847,Kansas,Big 12,Fresno State,Mountain West,18,False,4,30,70,"{'minutes': 5, 'seconds': 37}",4,39,61,"{'minutes': 3, 'seconds': 29}","{'minutes': 2, 'seconds': 17}",3,9,PUNT,True,31,7,31,7
40175684727,401756847,Fresno State,Mountain West,Kansas,Big 12,19,False,4,89,89,"{'minutes': 3, 'seconds': 17}",4,85,85,"{'minutes': 1, 'seconds': 55}","{'minutes': 1, 'seconds': 29}",4,3,DOWNS,False,7,31,7,31
40175684728,401756847,Kansas,Big 12,Fresno State,Mountain West,20,False,4,86,14,"{'minutes': 1, 'seconds': 52}",4,97,3,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 52}",4,11,Uncategorized,True,31,7,31,7
4017603611,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,82,18,"{'minutes': 7, 'seconds': 35}","{'minutes': 7, 'seconds': 25}",14,57,FG,True,0,0,3,0
4017603612,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,2,False,1,75,75,"{'minutes': 7, 'seconds': 35}",1,71,71,"{'minutes': 5, 'seconds': 41}","{'minutes': 1, 'seconds': 54}",3,4,PUNT,False,0,3,0,3
4017603613,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,3,True,1,80,20,"{'minutes': 5, 'seconds': 41}",1,100,0,"{'minutes': 4, 'seconds': 52}","{'minutes': 0, 'seconds': 49}",3,20,TD,True,3,0,10,0
4017603614,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,4,True,1,75,75,"{'minutes': 4, 'seconds': 52}",1,0,0,"{'minutes': 1, 'seconds': 17}","{'minutes': 3, 'seconds': 35}",8,75,TD,False,0,10,7,10
4017603615,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,5,False,1,25,75,"{'minutes': 1, 'seconds': 17}",1,35,65,"{'minutes': 0, 'seconds': 23}","{'minutes': 0, 'seconds': 54}",3,10,INT,True,10,7,10,7
4017603616,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,6,True,1,57,57,"{'minutes': 0, 'seconds': 23}",2,0,0,"{'minutes': 11, 'seconds': 33}","{'minutes': 3, 'seconds': 50}",9,57,TD,False,7,10,14,10
4017603617,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,7,False,2,15,85,"{'minutes': 11, 'seconds': 27}",2,97,3,"{'minutes': 9, 'seconds': 51}","{'minutes': 1, 'seconds': 36}",5,82,FUMBLE,True,10,14,10,14
4017603618,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,8,False,2,97,97,"{'minutes': 9, 'seconds': 51}",2,91,91,"{'minutes': 7, 'seconds': 50}","{'minutes': 2, 'seconds': 1}",3,6,PUNT,False,14,10,14,10
4017603619,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,9,False,2,50,50,"{'minutes': 7, 'seconds': 50}",2,62,38,"{'minutes': 6, 'seconds': 22}","{'minutes': 1, 'seconds': 28}",3,12,INT,True,10,14,10,14
40176036110,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,10,False,2,97,97,"{'minutes': 6, 'seconds': 22}",2,67,67,"{'minutes': 4, 'seconds': 2}","{'minutes': 2, 'seconds': 20}",6,30,INT,False,14,10,14,10
40176036111,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,11,True,2,47,53,"{'minutes': 4, 'seconds': 2}",2,92,8,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 2}",9,45,FG,True,10,14,13,14
40176036112,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,12,False,3,78,78,"{'minutes': 14, 'seconds': 55}",3,63,63,"{'minutes': 13, 'seconds': 0}","{'minutes': 1, 'seconds': 55}",4,15,PUNT,False,14,13,14,13
40176036113,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,13,True,3,45,55,"{'minutes': 13, 'seconds': 0}",3,100,0,"{'minutes': 8, 'seconds': 36}","{'minutes': 4, 'seconds': 24}",8,55,TD,True,13,14,21,14
40176036114,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,14,False,3,87,87,"{'minutes': 8, 'seconds': 30}",3,82,82,"{'minutes': 6, 'seconds': 37}","{'minutes': 1, 'seconds': 53}",3,5,PUNT,False,14,21,14,21
40176036115,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,15,True,3,44,56,"{'minutes': 6, 'seconds': 37}",3,100,0,"{'minutes': 1, 'seconds': 50}","{'minutes': 4, 'seconds': 47}",9,56,TD,True,21,14,28,14
40176036116,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,16,False,3,73,73,"{'minutes': 1, 'seconds': 43}",4,55,55,"{'minutes': 14, 'seconds': 48}","{'minutes': 1, 'seconds': 55}",5,18,PUNT,False,14,28,14,28
40176036117,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,17,True,4,10,90,"{'minutes': 14, 'seconds': 48}",4,100,0,"{'minutes': 10, 'seconds': 2}","{'minutes': 4, 'seconds': 46}",8,90,TD,True,28,14,35,14
40176036118,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,18,False,4,75,75,"{'minutes': 10, 'seconds': 2}",4,70,70,"{'minutes': 9, 'seconds': 24}","{'minutes': 0, 'seconds': 38}",3,5,PUNT,False,14,35,14,35
40176036119,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,19,True,4,29,71,"{'minutes': 9, 'seconds': 24}",4,100,0,"{'minutes': 6, 'seconds': 21}","{'minutes': 3, 'seconds': 3}",5,71,TD,True,35,14,42,14
40176036120,401760361,Georgia Southern,Sun Belt,Fresno State,Mountain West,20,False,4,84,84,"{'minutes': 6, 'seconds': 21}",4,70,70,"{'minutes': 4, 'seconds': 41}","{'minutes': 1, 'seconds': 40}",5,14,PUNT,False,14,42,14,42
40176036121,401760361,Fresno State,Mountain West,Georgia Southern,Sun Belt,21,False,4,23,77,"{'minutes': 4, 'seconds': 41}",4,67,33,"{'minutes': 0, 'seconds': 0}","{'minutes': 4, 'seconds': 41}",7,44,END OF GAME,True,42,14,42,14
4017603691,401760369,Fresno State,Mountain West,Southern,SWAC,1,True,1,35,65,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 11, 'seconds': 53}","{'minutes': 3, 'seconds': 7}",6,65,TD,True,0,0,7,0
4017603692,401760369,Southern,SWAC,Fresno State,Mountain West,2,False,1,75,75,"{'minutes': 11, 'seconds': 53}",1,69,69,"{'minutes': 9, 'seconds': 0}","{'minutes': 2, 'seconds': 53}",5,6,PUNT,False,0,7,0,7
4017603693,401760369,Fresno State,Mountain West,Southern,SWAC,3,True,1,45,55,"{'minutes': 9, 'seconds': 0}",1,100,0,"{'minutes': 2, 'seconds': 54}","{'minutes': 6, 'seconds': 6}",10,55,TD,True,7,0,14,0
4017603694,401760369,Southern,SWAC,Fresno State,Mountain West,4,False,1,75,75,"{'minutes': 2, 'seconds': 54}",1,78,78,"{'minutes': 1, 'seconds': 15}","{'minutes': 1, 'seconds': 39}",3,-8,PUNT,False,0,14,0,14
4017603695,401760369,Fresno State,Mountain West,Southern,SWAC,5,False,1,33,67,"{'minutes': 1, 'seconds': 15}",2,49,51,"{'minutes': 13, 'seconds': 53}","{'minutes': 2, 'seconds': 22}",4,16,PUNT,True,14,0,14,0
4017603696,401760369,Southern,SWAC,Fresno State,Mountain West,6,False,2,99,99,"{'minutes': 13, 'seconds': 53}",2,97,97,"{'minutes': 12, 'seconds': 53}","{'minutes': 1, 'seconds': 0}",3,2,PUNT,False,0,14,0,14
4017603697,401760369,Fresno State,Mountain West,Southern,SWAC,7,True,2,59,41,"{'minutes': 12, 'seconds': 53}",2,100,0,"{'minutes': 10, 'seconds': 58}","{'minutes': 1, 'seconds': 55}",4,41,TD,True,14,0,21,0
4017603698,401760369,Southern,SWAC,Fresno State,Mountain West,8,True,2,75,75,"{'minutes': 10, 'seconds': 58}",2,0,0,"{'minutes': 5, 'seconds': 41}","{'minutes': 5, 'seconds': 17}",9,75,TD,False,0,21,7,21
4017603699,401760369,Fresno State,Mountain West,Southern,SWAC,9,True,2,43,57,"{'minutes': 5, 'seconds': 37}",2,100,0,"{'minutes': 5, 'seconds': 27}","{'minutes': 0, 'seconds': 10}",1,57,TD,True,21,7,28,7
40176036910,401760369,Southern,SWAC,Fresno State,Mountain West,10,False,2,75,75,"{'minutes': 5, 'seconds': 27}",2,27,27,"{'minutes': 1, 'seconds': 34}","{'minutes': 3, 'seconds': 53}",10,48,MISSED FG,False,7,28,7,28
40176036911,401760369,Fresno State,Mountain West,Southern,SWAC,11,True,2,27,73,"{'minutes': 1, 'seconds': 34}",2,100,0,"{'minutes': 0, 'seconds': 33}","{'minutes': 1, 'seconds': 1}",8,73,TD,True,28,7,35,7
40176036912,401760369,Southern,SWAC,Fresno State,Mountain West,12,False,2,75,75,"{'minutes': 0, 'seconds': 33}",2,76,76,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 33}",1,-1,END OF HALF,False,7,35,7,35
40176036913,401760369,Southern,SWAC,Fresno State,Mountain West,13,False,3,85,85,"{'minutes': 14, 'seconds': 55}",3,90,90,"{'minutes': 12, 'seconds': 14}","{'minutes': 2, 'seconds': 41}",3,-5,PUNT,False,7,35,7,35
40176036914,401760369,Fresno State,Mountain West,Southern,SWAC,14,False,3,58,42,"{'minutes': 12, 'seconds': 14}",3,97,3,"{'minutes': 7, 'seconds': 31}","{'minutes': 4, 'seconds': 43}",8,39,FUMBLE,True,35,7,35,7
40176036915,401760369,Southern,SWAC,Fresno State,Mountain West,15,False,3,97,97,"{'minutes': 7, 'seconds': 31}",3,90,90,"{'minutes': 5, 'seconds': 53}","{'minutes': 1, 'seconds': 38}",3,7,PUNT,False,7,35,7,35
40176036916,401760369,Fresno State,Mountain West,Southern,SWAC,16,True,3,56,44,"{'minutes': 5, 'seconds': 53}",3,100,0,"{'minutes': 3, 'seconds': 6}","{'minutes': 2, 'seconds': 47}",7,44,TD,True,35,7,42,7
40176036917,401760369,Southern,SWAC,Fresno State,Mountain West,17,False,3,60,60,"{'minutes': 2, 'seconds': 57}",3,66,66,"{'minutes': 0, 'seconds': 39}","{'minutes': 2, 'seconds': 18}",3,-6,PUNT,False,7,42,7,42
40176036918,401760369,Fresno State,Mountain West,Southern,SWAC,18,True,3,31,69,"{'minutes': 0, 'seconds': 39}",4,100,0,"{'minutes': 10, 'seconds': 37}","{'minutes': 5, 'seconds': 2}",10,69,TD,True,42,7,49,7
40176036919,401760369,Southern,SWAC,Fresno State,Mountain West,19,False,4,89,89,"{'minutes': 10, 'seconds': 32}",4,89,89,"{'minutes': 9, 'seconds': 39}","{'minutes': 0, 'seconds': 53}",3,0,PUNT,False,7,49,7,49
40176036920,401760369,Fresno State,Mountain West,Southern,SWAC,20,True,4,56,44,"{'minutes': 9, 'seconds': 39}",4,100,0,"{'minutes': 4, 'seconds': 58}","{'minutes': 4, 'seconds': 41}",8,44,TD,True,49,7,56,7
40176036921,401760369,Southern,SWAC,Fresno State,Mountain West,21,False,4,75,75,"{'minutes': 4, 'seconds': 58}",4,68,68,"{'minutes': 2, 'seconds': 48}","{'minutes': 2, 'seconds': 10}",3,7,PUNT,False,7,56,7,56
40176036922,401760369,Fresno State,Mountain West,Southern,SWAC,22,False,4,43,57,"{'minutes': 2, 'seconds': 48}",4,51,49,"{'minutes': 0, 'seconds': 0}","{'minutes': 2, 'seconds': 48}",5,8,END OF GAME,True,56,7,56,7
4017603741,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,1,False,1,81,81,"{'minutes': 14, 'seconds': 56}",1,25,25,"{'minutes': 7, 'seconds': 59}","{'minutes': 6, 'seconds': 57}",13,56,MISSED FG,False,0,0,0,0
4017603742,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,2,False,1,25,75,"{'minutes': 7, 'seconds': 59}",1,36,64,"{'minutes': 5, 'seconds': 20}","{'minutes': 2, 'seconds': 39}",5,11,PUNT,True,0,0,0,0
4017603743,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,3,False,1,60,60,"{'minutes': 5, 'seconds': 20}",1,53,53,"{'minutes': 3, 'seconds': 26}","{'minutes': 1, 'seconds': 54}",3,7,PUNT,False,0,0,0,0
4017603744,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,4,False,1,7,93,"{'minutes': 3, 'seconds': 26}",1,18,82,"{'minutes': 0, 'seconds': 15}","{'minutes': 3, 'seconds': 11}",6,11,FUMBLE,True,0,0,0,0
4017603745,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,5,False,1,18,18,"{'minutes': 0, 'seconds': 15}",2,8,8,"{'minutes': 12, 'seconds': 38}","{'minutes': 2, 'seconds': 37}",7,10,MISSED FG,False,0,0,0,0
4017603746,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,6,False,2,20,80,"{'minutes': 12, 'seconds': 38}",2,61,39,"{'minutes': 8, 'seconds': 38}","{'minutes': 4, 'seconds': 0}",7,41,PUNT,True,0,0,0,0
4017603747,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,7,True,2,97,97,"{'minutes': 8, 'seconds': 38}",2,100,100,"{'minutes': 7, 'seconds': 20}","{'minutes': 1, 'seconds': 18}",3,-10,SF,False,0,0,0,2
4017603748,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,8,False,2,25,75,"{'minutes': 6, 'seconds': 55}",2,31,69,"{'minutes': 6, 'seconds': 16}","{'minutes': 0, 'seconds': 39}",3,6,PUNT,True,2,0,2,0
4017603749,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,9,True,2,74,74,"{'minutes': 6, 'seconds': 16}",2,63,63,"{'minutes': 1, 'seconds': 47}","{'minutes': 4, 'seconds': 29}",8,11,FUMBLE RETURN TD,False,0,2,0,9
40176037410,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,10,True,2,57,57,"{'minutes': 1, 'seconds': 34}",2,0,0,"{'minutes': 0, 'seconds': 38}","{'minutes': 0, 'seconds': 56}",6,57,TD,False,0,9,7,9
40176037411,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,11,False,2,25,75,"{'minutes': 0, 'seconds': 38}",2,27,73,"{'minutes': 0, 'seconds': 23}","{'minutes': 0, 'seconds': 15}",2,2,INT,True,9,7,9,7
40176037412,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,12,False,2,55,55,"{'minutes': 0, 'seconds': 23}",2,54,54,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 23}",2,1,END OF HALF,False,7,9,7,9
40176037413,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,13,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,40,60,"{'minutes': 11, 'seconds': 38}","{'minutes': 3, 'seconds': 22}",6,15,PUNT,True,9,7,9,7
40176037414,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,14,False,3,85,85,"{'minutes': 11, 'seconds': 38}",3,82,82,"{'minutes': 9, 'seconds': 31}","{'minutes': 2, 'seconds': 7}",3,3,PUNT,False,7,9,7,9
40176037415,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,15,True,3,44,56,"{'minutes': 9, 'seconds': 31}",3,78,22,"{'minutes': 7, 'seconds': 31}","{'minutes': 2, 'seconds': 0}",9,34,FG,True,9,7,12,7
40176037416,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,16,True,3,75,75,"{'minutes': 7, 'seconds': 31}",3,0,0,"{'minutes': 5, 'seconds': 47}","{'minutes': 1, 'seconds': 44}",4,75,TD,False,7,12,13,12
40176037417,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,17,True,3,25,75,"{'minutes': 5, 'seconds': 47}",3,66,34,"{'minutes': 3, 'seconds': 15}","{'minutes': 2, 'seconds': 32}",7,40,FG,True,12,13,15,13
40176037418,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,18,False,3,75,75,"{'minutes': 3, 'seconds': 15}",4,36,36,"{'minutes': 12, 'seconds': 46}","{'minutes': 5, 'seconds': 29}",8,39,MISSED FG,False,13,15,13,15
40176037419,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,19,False,4,36,64,"{'minutes': 12, 'seconds': 46}",4,41,59,"{'minutes': 11, 'seconds': 22}","{'minutes': 1, 'seconds': 24}",3,5,INT,True,15,13,15,13
40176037420,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,20,True,4,12,12,"{'minutes': 11, 'seconds': 22}",4,9,9,"{'minutes': 9, 'seconds': 54}","{'minutes': 1, 'seconds': 28}",4,3,FG,False,13,15,16,15
40176037421,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,21,True,4,25,75,"{'minutes': 9, 'seconds': 54}",4,57,43,"{'minutes': 5, 'seconds': 20}","{'minutes': 4, 'seconds': 34}",9,32,INT TD,True,15,16,15,23
40176037422,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,22,False,4,25,75,"{'minutes': 5, 'seconds': 20}",4,63,37,"{'minutes': 3, 'seconds': 27}","{'minutes': 1, 'seconds': 53}",7,38,DOWNS,True,15,23,15,23
40176037423,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,23,False,4,63,63,"{'minutes': 3, 'seconds': 27}",4,62,62,"{'minutes': 3, 'seconds': 6}","{'minutes': 0, 'seconds': 21}",3,1,PUNT,False,23,15,23,15
40176037424,401760374,Hawai'i,Mountain West,Fresno State,Mountain West,24,True,4,23,77,"{'minutes': 3, 'seconds': 6}",4,100,0,"{'minutes': 0, 'seconds': 10}","{'minutes': 2, 'seconds': 56}",12,77,TD,True,15,23,21,23
40176037425,401760374,Fresno State,Mountain West,Hawai'i,Mountain West,25,False,4,49,49,"{'minutes': 0, 'seconds': 9}",4,50,50,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 9}",1,-1,END OF GAME,False,23,21,23,21
4017603831,401760383,Fresno State,Mountain West,Nevada,Mountain West,1,False,1,25,75,"{'minutes': 15, 'seconds': 0}",1,40,60,"{'minutes': 13, 'seconds': 46}","{'minutes': 1, 'seconds': 14}",3,15,INT,True,0,0,0,0
4017603832,401760383,Nevada,Mountain West,Fresno State,Mountain West,2,False,1,45,45,"{'minutes': 13, 'seconds': 46}",1,35,35,"{'minutes': 11, 'seconds': 52}","{'minutes': 1, 'seconds': 54}",4,10,INT,False,0,0,0,0
4017603833,401760383,Fresno State,Mountain West,Nevada,Mountain West,3,False,1,2,98,"{'minutes': 11, 'seconds': 52}",1,10,90,"{'minutes': 9, 'seconds': 37}","{'minutes': 2, 'seconds': 15}",3,8,PUNT,True,0,0,0,0
